mortgageInterestRate,propertyValueYearlyIncrease,delta
0.05,-0.02,10510.171097506586254890054617
0.05,-0.01,19924.021717506586254890054617
0.05,0.00,29726.011737506586254890054617
0.05,0.01,39928.021757506586254890054617
0.05,0.02,50542.172377506586254890054617
0.05,0.03,61580.826597506586254890054617
0.05,0.04,73056.592217506586254890054617
0.05,0.05,84982.32423750658625489005462
0.05,0.06,97371.12725750658625489005462
0.05,0.07,110236.35787750658625489005462
0.05,0.08,123591.62709750658625489005462
0.05,0.09,137450.80271750658625489005462
0.05,0.10,151828.01173750658625489005462
0.05,0.11,166737.64275750658625489005462
0.05,0.12,182194.34837750658625489005462
0.05,0.13,198213.04759750658625489005462
0.05,0.14,214808.92821750658625489005462
0.05,0.15,231997.44923750658625489005462
0.06,-0.15,-90734.40262627546583434396524
0.06,-0.14,-85390.06160627546583434396524
0.06,-0.13,-79791.28098627546583434396524
0.06,-0.12,-73929.081766275465834343965238
0.06,-0.11,-67794.276146275465834343965238
0.06,-0.10,-61377.465126275465834343965238
0.06,-0.09,-54669.036106275465834343965238
0.06,-0.08,-47659.160486275465834343965238
0.06,-0.07,-40337.791266275465834343965238
0.06,-0.06,-32694.660646275465834343965238
0.06,-0.05,-24719.277626275465834343965238
0.06,-0.04,-16400.925606275465834343965238
0.06,-0.03,-7728.659986275465834343965238
0.06,-0.02,1308.694233724534165656034762
0.06,-0.01,10722.544853724534165656034762
0.06,0.00,20524.534873724534165656034762
0.06,0.01,30726.544893724534165656034762
0.06,0.02,41340.695513724534165656034762
0.06,0.03,52379.349733724534165656034762
0.06,0.04,63855.115353724534165656034762
0.06,0.05,75780.847373724534165656034762
0.06,0.06,88169.65039372453416565603476
0.06,0.07,101034.88101372453416565603476
0.06,0.08,114390.15023372453416565603476
0.06,0.09,128249.32585372453416565603476
0.06,0.10,142626.53487372453416565603476
0.06,0.11,157536.16589372453416565603476
0.06,0.12,172992.87151372453416565603476
0.06,0.13,189011.57073372453416565603476
0.06,0.14,205607.45135372453416565603476
0.06,0.15,222795.97237372453416565603476
0.07,-0.15,-100048.59339174028290613412177
0.07,-0.14,-94704.25237174028290613412177
0.07,-0.13,-89105.47175174028290613412177
0.07,-0.12,-83243.27253174028290613412177
0.07,-0.11,-77108.466911740282906134121767
0.07,-0.10,-70691.655891740282906134121767
0.07,-0.09,-63983.226871740282906134121767
0.07,-0.08,-56973.351251740282906134121767
0.07,-0.07,-49651.982031740282906134121767
0.07,-0.06,-42008.851411740282906134121767
0.07,-0.05,-34033.468391740282906134121767
0.07,-0.04,-25715.116371740282906134121767
0.07,-0.03,-17042.850751740282906134121767
0.07,-0.02,-8005.496531740282906134121767
0.07,-0.01,1408.354088259717093865878233
0.07,0.00,11210.344108259717093865878233
0.07,0.01,21412.354128259717093865878233
0.07,0.02,32026.504748259717093865878233
0.07,0.03,43065.158968259717093865878233
0.07,0.04,54540.924588259717093865878233
0.07,0.05,66466.656608259717093865878233
0.07,0.06,78855.459628259717093865878233
0.07,0.07,91720.69024825971709386587823
0.07,0.08,105075.95946825971709386587823
0.07,0.09,118935.13508825971709386587823
0.07,0.10,133312.34410825971709386587823
0.07,0.11,148221.97512825971709386587823
0.07,0.12,163678.68074825971709386587823
0.07,0.13,179697.37996825971709386587823
0.07,0.14,196293.26058825971709386587823
0.07,0.15,213481.78160825971709386587823
0.08,-0.15,-109457.58702992034329487622944
0.08,-0.14,-104113.24600992034329487622944
0.08,-0.13,-98514.46538992034329487622944
0.08,-0.12,-92652.26616992034329487622944
0.08,-0.11,-86517.46054992034329487622944
0.08,-0.10,-80100.64952992034329487622944
0.08,-0.09,-73392.220509920343294876229439
0.08,-0.08,-66382.344889920343294876229439
0.08,-0.07,-59060.975669920343294876229439
0.08,-0.06,-51417.845049920343294876229439
0.08,-0.05,-43442.462029920343294876229439
0.08,-0.04,-35124.110009920343294876229439
0.08,-0.03,-26451.844389920343294876229439
0.08,-0.02,-17414.490169920343294876229439
0.08,-0.01,-8000.639549920343294876229439
0.08,0.00,1801.350470079656705123770561
0.08,0.01,12003.360490079656705123770561
0.08,0.02,22617.511110079656705123770561
0.08,0.03,33656.165330079656705123770561
0.08,0.04,45131.930950079656705123770561
0.08,0.05,57057.662970079656705123770561
0.08,0.06,69446.465990079656705123770561
0.08,0.07,82311.69661007965670512377056
0.08,0.08,95666.96583007965670512377056
0.08,0.09,109526.14145007965670512377056
0.08,0.10,123903.35047007965670512377056
0.08,0.11,138812.98149007965670512377056
0.08,0.12,154269.68711007965670512377056
0.08,0.13,170288.38633007965670512377056
0.08,0.14,186884.26695007965670512377056
0.08,0.15,204072.78797007965670512377056
0.09,-0.15,-118944.87817464821713986942244
0.09,-0.14,-113600.53715464821713986942244
0.09,-0.13,-108001.75653464821713986942244
0.09,-0.12,-102139.55731464821713986942244
0.09,-0.11,-96004.75169464821713986942244
0.09,-0.10,-89587.94067464821713986942244
0.09,-0.09,-82879.51165464821713986942244
0.09,-0.08,-75869.636034648217139869422436
0.09,-0.07,-68548.266814648217139869422436
0.09,-0.06,-60905.136194648217139869422436
0.09,-0.05,-52929.753174648217139869422436
0.09,-0.04,-44611.401154648217139869422436
0.09,-0.03,-35939.135534648217139869422436
0.09,-0.02,-26901.781314648217139869422436
0.09,-0.01,-17487.930694648217139869422436
0.09,0.00,-7685.940674648217139869422436
0.09,0.01,2516.069345351782860130577564
0.09,0.02,13130.219965351782860130577564
0.09,0.03,24168.874185351782860130577564
0.09,0.04,35644.639805351782860130577564
0.09,0.05,47570.371825351782860130577564
0.09,0.06,59959.174845351782860130577564
0.09,0.07,72824.405465351782860130577564
0.09,0.08,86179.67468535178286013057756
0.09,0.09,100038.85030535178286013057756
0.09,0.10,114416.05932535178286013057756
0.09,0.11,129325.69034535178286013057756
0.09,0.12,144782.39596535178286013057756
0.09,0.13,160801.09518535178286013057756
0.09,0.14,177396.97580535178286013057756
0.09,0.15,194585.49682535178286013057756
0.10,-0.15,-128495.55936516178301202270384
0.10,-0.14,-123151.21834516178301202270384
0.10,-0.13,-117552.43772516178301202270384
0.10,-0.12,-111690.23850516178301202270384
0.10,-0.11,-105555.43288516178301202270384
0.10,-0.10,-99138.62186516178301202270384
0.10,-0.09,-92430.19284516178301202270384
0.10,-0.08,-85420.31722516178301202270384
0.10,-0.07,-78098.948005161783012022703841
0.10,-0.06,-70455.817385161783012022703841
0.10,-0.05,-62480.434365161783012022703841
0.10,-0.04,-54162.082345161783012022703841
0.10,-0.03,-45489.816725161783012022703841
0.10,-0.02,-36452.462505161783012022703841
0.10,-0.01,-27038.611885161783012022703841
0.10,0.00,-17236.621865161783012022703841
0.10,0.01,-7034.611845161783012022703841
0.10,0.02,3579.538774838216987977296159
