mortgageInterestRate,savingsInterestRate,delta
0.10,0.10,-16814.29417972975346310709268
0.10,0.11,-21545.78404528445668774307554
0.10,0.12,-26493.10917792766495957224794
0.10,0.13,-31666.30057141225077444110535
0.10,0.14,-37075.85518871739955667662142
0.10,0.15,-42732.75742571743215112207797
0.10,0.16,-48648.50155121007053952795079
0.10,0.17,-54835.11516705888518853469249
0.10,0.18,-61305.18373413332623957931195
0.10,0.19,-68071.87621174192667153007176
0.10,0.20,-75148.97186035352391497309516
0.11,-0.1,34976.321234967218125748394134
0.11,-0.09,32838.110095391674548762855957
0.11,-0.08,30607.124295942912261817689012
0.11,-0.07,28279.127463757998910599811194
0.11,-0.06,25849.687150735019904682099014
0.11,-0.05,23314.165770240045777955535457
0.11,-0.04,20667.711118403419214290354178
0.11,-0.03,17905.246461200462650072043011
0.11,-0.02,15021.46016767302890093935704
0.11,-0.01,12010.79486877284932112173923
0.11,0.00,8867.43612039379125953532464
0.11,0.01,5585.30054820626665224726637
0.11,0.02,2158.02345091141428642254466
0.11,0.03,-1421.05416250648533115047618
0.11,0.04,-5158.89912703548211370424797
0.11,0.05,-9062.80029403737815269563922
0.11,0.06,-13140.38334961450078396890101
0.11,0.07,-17399.62630799408095481539316
0.11,0.08,-21848.87571026906259893765280
0.11,0.09,-26496.86356017675875176559563
0.11,0.10,-31352.72502999777391140837569
0.11,0.11,-36426.01697111952561657076850
0.11,0.12,-41726.73726533412196256217967
0.11,0.13,-47265.34505453199534697073654
0.11,0.14,-53052.78188811337908577339492
0.11,0.15,-59100.49382917238370288978712
0.11,0.16,-65420.45456231614762406245852
0.11,0.17,-72025.18954786749460706851276
0.11,0.18,-78927.80126916705261615762933
0.11,0.19,-86141.99562174333974375694710
0.11,0.20,-93682.10949526051025180860328
0.12,-0.1,25404.847240982264685679384197
0.12,-0.09,23083.065777034939188467877847
0.12,-0.08,20662.694258067162613216212978
0.12,-0.07,18139.288721007353006414823119
0.12,-0.06,15508.201290871375576129220595
0.12,-0.05,12764.57081334291609289280271
0.12,-0.04,9903.31305999214526161414093
0.12,-0.03,6919.11048685653766959260066
0.12,-0.02,3806.40152625049602897141976
0.12,-0.01,559.36939077570492961441108
0.12,0.00,-2828.06963242971514873827248
0.12,0.01,-6362.27842013984471269158538
0.12,0.02,-10049.91180814120689402361582
0.12,0.03,-13897.92996800003755393584529
0.12,0.04,-17913.61239161990768357968362
0.12,0.05,-22104.57251086919566010470789
0.12,0.06,-26478.77298076442095722686338
0.12,0.07,-31044.54165595445882196329748
0.12,0.08,-35810.58829156440120627578104
0.12,0.09,-40786.02200082865102954555476
0.12,0.10,-45980.36950337317081916309493
0.12,0.11,-51403.59419949919116521321751
0.12,0.12,-57066.11610737776371650351439
0.12,0.13,-62978.83270168907273816777041
0.12,0.14,-69153.14069393526879613968661
0.12,0.15,-75600.95879642374805221312046
0.12,0.16,-82334.75151376238584663514268
0.12,0.17,-89367.55400763248850112981699
0.12,0.18,-96712.99808261253257934858952
0.12,0.19,-104385.33934291963690078541108
0.12,0.20,-112399.48557211982659137136940
0.13,-0.1,15865.461097364274534259391123
0.13,-0.09,13356.342804916983076759345637
0.13,-0.08,10742.69974176420321219530722
0.13,-0.07,8019.87609528051496974816974
0.13,-0.06,5183.00414346115601254068695
0.13,-0.05,2226.99457713571801785734007
0.13,-0.04,-853.47361737610640725890817
0.13,-0.03,-4063.96373492376884462958655
0.13,-0.02,-7410.29240813327238669971131
0.13,-0.01,-10898.54116551029154417099161
0.13,0.00,-14535.06851354082989317822848
0.13,0.01,-18326.52256628712109476281303
0.13,0.02,-22279.85424701574832802852455
0.13,0.03,-26402.33108747947378620047761
0.13,0.04,-30701.55165160597010830687578
0.13,0.05,-35185.46061152754724556247258
0.13,0.06,-39862.36450511817380299878561
0.13,0.07,-44740.94820548979208060340990
0.13,0.08,-49830.29213424140343699205154
0.13,0.09,-55139.89025165403340810890479
0.13,0.10,-60679.66885848495198166211077
0.13,0.11,-66460.00624553800494310374294
0.13,0.12,-72491.75322877629655151576059
0.13,0.13,-78786.25460940155357001265032
0.13,0.14,-85355.37160005421437818154509
0.13,0.15,-92211.50526009266474909073443
0.13,0.16,-99367.62098479225077618270660
0.13,0.17,-106837.27409526803813914386118
0.13,0.18,-114634.63657797319139804988688
0.13,0.19,-122774.52502476089613958639402
0.13,0.20,-131272.42982672566807238617564
0.14,-0.1,6360.45117358552753657812989
0.14,-0.09,3660.69535440450338553429025
0.14,-0.08,850.37548473983651687084844
0.14,-0.07,-2075.37983017706640833790114
0.14,-0.06,-5121.66203286875274272939097
0.14,-0.05,-8293.79260723307262373410883
0.14,-0.04,-11597.33352413360389866090824
0.14,-0.03,-15038.09815920557506131073572
0.14,-0.02,-18622.16270401908362891389894
0.14,-0.01,-22355.87809267578759334692279
0.14,0.00,-26245.88246689030345942876604
0.14,0.01,-30299.11420362501729616719581
0.14,0.02,-34522.82553040871975926044111
0.14,0.03,-38924.59675457730302609035451
0.14,0.04,-43512.35113383067723863782774
0.14,0.05,-48294.37041670612925631865863
0.14,0.06,-53279.31108282669622394711048
0.14,0.07,-58476.22131409598920746234125
0.14,0.08,-63894.55872938059977549916308
0.14,0.09,-69544.20891665017385968772793
0.14,0.10,-75435.50479803596256518282195
0.14,0.11,-81579.24686482378412885128593
0.14,0.12,-87986.72432101958980091801695
0.14,0.13,-94669.73717581806796927271036
0.14,0.14,-101640.61932706991297997551702
0.14,0.15,-108912.26267968461902498335930
0.14,0.16,-116498.14234482615497473703973
0.14,0.17,-124412.34296776198679833927013
0.14,0.18,-132669.58623431513322991428035
0.14,0.19,-141285.25960804790559951319467
0.14,0.20,-150275.44635257848314930043821
0.15,-0.1,-3109.17545313500281498449898
0.15,-0.09,-6002.44077053688934151382849
0.15,-0.08,-9012.40040049363360960581499
0.15,-0.07,-12144.14456768137976177787456
0.15,-0.06,-15402.99180551018313221829172
0.15,-0.05,-18794.49927033848753214572388
0.15,-0.04,-22324.47352025478011844745524
0.15,-0.03,-25998.98177916959753403849502
0.15,-0.02,-29824.36370787597052403400618
0.15,-0.01,-33807.24370469107572999593119
0.15,0.00,-37954.54375928801342053119759
0.15,0.01,-42273.49688436602055553614822
0.15,0.02,-46771.66115089190622477720006
0.15,0.03,-51456.93435377698503242179591
0.15,0.04,-56337.56933603428795192574533
0.15,0.05,-61422.19000069243805405792068
0.15,0.06,-66719.80804102746623994338810
0.15,0.07,-72239.84042101427662861006976
0.15,0.08,-77992.12763929781424090860036
0.15,0.09,-83986.95281144269940983828884
0.15,0.10,-90235.06160674173692948797016
0.15,0.11,-96747.68307745095321142279689
0.15,0.12,-103536.55141997444278485939912
0.15,0.13,-110613.92870924921329712055116
0.15,0.14,-117992.62864938142322238298262
0.15,0.15,-125686.04138546405170658516935
0.15,0.16,-133708.15942346539887794392010
0.15,0.17,-142073.60470712129694861356389
0.15,0.18,-150797.65690289506837143009844
0.15,0.19,-159896.28294629179523601645525
0.15,0.20,-169386.16790513121520861539823
0.16,-0.1,-12543.44819011065047350659242
0.16,-0.09,-15632.70549345872190248656699
0.16,-0.08,-18844.86601511953119346349560
0.16,-0.07,-22185.24161699405964250391974
0.16,-0.06,-25659.38083667532094022015468
0.16,-0.05,-29273.07952636878062488081998
0.16,-0.04,-33032.39196913967262082110200
0.16,-0.03,-36943.64249373351109362287603
0.16,-0.02,-41013.43761015079796124653402
0.16,-0.01,-45248.67868913216963197337375
0.16,0.00,-49656.57520972774138543189838
0.16,0.01,-54244.65860018599735528308114
0.16,0.02,-59020.79669850511697736693124
0.16,0.03,-63993.20886014508239444976724
0.16,0.04,-69170.48174160431494627118546
0.16,0.05,-74561.58578982206710468591579
0.16,0.06,-80175.89246867956241876375148
0.16,0.07,-86023.19225524123603422930163
0.16,0.08,-92113.71343980478419560436827
0.16,0.09,-98458.14176531758504923863501
0.16,0.10,-105067.64094327001153400647151
0.16,0.11,-111953.87408479593520304472741
0.16,0.12,-119129.02608740014546586522985
0.16,0.13,-126605.82701949442756256188477
0.16,0.14,-134397.57654676172255176441470
0.16,0.15,-142518.16944628432905699052489
0.16,0.16,-150982.12225637082738192430439
0.16,0.17,-159804.60111210077774523200263
0.16,0.18,-169001.45081877987524537402312
0.16,0.19,-178589.22521776489360186677523
0.16,0.20,-188585.21890148133206804569346
0.17,-0.1,-21943.20498859678093711741090
0.17,-0.09,-25230.58704347228997470696393
0.17,-0.08,-28647.14878712231914545266075
0.17,-0.07,-32198.42613050724418970359299
0.17,-0.06,-35890.20011828601264730887195
0.17,-0.05,-39728.50789597592371566038483
0.17,-0.04,-43719.65416733787471205553938
0.17,-0.03,-47870.22316374197186684251192
0.17,-0.02,-52187.09114822310921110282435
0.17,-0.01,-56677.43947793214803858043593
0.17,0.00,-61348.76824972744154592319824
0.17,0.01,-66208.91055473547926717842914
0.17,0.02,-71266.04736884028507946211651
0.17,0.03,-76528.72310724088206630161325
0.17,0.04,-82005.86187244671180340795260
0.17,0.05,-87706.78442636452573409413764
0.17,0.06,-93641.22591846920347153265597
0.17,0.07,-99819.35440344754222883571885
0.17,0.08,-106251.79018316074598852668041
0.17,0.09,-112949.62600929066705806719486
0.17,0.10,-119924.44818461946677863773624
0.17,0.11,-127188.35860254502702968165562
0.17,0.12,-134753.99776615803517806531226
0.17,0.13,-142634.56883000417701981547838
0.17,0.14,-150843.86270952942406722409237
0.17,0.15,-159396.28430516124156905083117
0.17,0.16,-168306.87989001705481476147793
0.17,0.17,-177591.36571235701650947904614
0.17,0.18,-187266.15786611468599554346904
0.17,0.19,-197348.40348515048217424039270
0.17,0.20,-207856.01331928268428930113420
0.18,-0.1,-31309.88771226051534244132248
0.18,-0.09,-34797.21654117455609118609041
0.18,-0.08,-38420.05924987916326199111340
0.18,-0.07,-42184.17785882535885914667768
0.18,-0.06,-46095.58805795197711672976970
0.18,-0.05,-50160.57050510340541129189054
0.18,-0.04,-54385.68262768998092437690682
0.18,-0.03,-58777.77094985921753003324480
0.18,-0.02,-63343.98396842093131228870265
