initialPropertyValue,initialMonthlyRentPrice,delta
320000,2600,155339.87567787047315892063106
320000,2700,162638.26751510652726829904873
320000,2800,169936.65935234258137767746640
320000,2900,177235.05118957863548705588406
320000,3000,184533.44302681468959643430172
330000,500,932.59669217825480979187957
330000,600,8230.98852941430891917029724
330000,700,15529.38036665036302854871492
330000,800,22827.77220388641713792713260
330000,900,30126.16404112247124730555024
330000,1000,37424.55587835852535668396792
330000,1100,44722.94771559457946606238558
330000,1200,52021.339552830633575440803242
330000,1300,59319.731390066687684819220909
330000,1400,66618.123227302741794197638574
330000,1500,73916.515064538795903576056238
330000,1600,81214.90690177485001295447390
330000,1700,88513.29873901090412233289157
330000,1800,95811.69057624695823171130924
330000,1900,103110.08241348301234108972691
330000,2000,110408.47425071906645046814458
330000,2100,117706.86608795512055984656225
330000,2200,125005.25792519117466922497991
330000,2300,132303.64976242722877860339757
330000,2400,139602.04159966328288798181524
330000,2500,146900.43343689933699736023291
330000,2600,154198.82527413539110673865058
330000,2700,161497.21711137144521611706824
330000,2800,168795.60894860749932549548591
330000,2900,176094.00078584355343487390358
330000,3000,183392.39262307960754425232124
340000,500,-208.45371155682724239010095
340000,600,7089.93812567922686698831672
340000,700,14388.32996291528097636673437
340000,800,21686.72180015133508574515206
340000,900,28985.11363738738919512356970
340000,1000,36283.50547462344330450198739
340000,1100,43581.89731185949741388040505
340000,1200,50880.289149095551523258822715
340000,1300,58178.680986331605632637240382
340000,1400,65477.072823567659742015658049
340000,1500,72775.464660803713851394075709
340000,1600,80073.85649803976796077249338
340000,1700,87372.24833527582207015091105
340000,1800,94670.64017251187617952932871
340000,1900,101969.03200974793028890774638
340000,2000,109267.42384698398439828616405
340000,2100,116565.81568422003850766458172
340000,2200,123864.20752145609261704299939
340000,2300,131162.59935869214672642141705
340000,2400,138460.99119592820083579983472
340000,2500,145759.38303316425494517825238
340000,2600,153057.77487040030905455667005
340000,2700,160356.16670763636316393508772
340000,2800,167654.55854487241727331350538
340000,2900,174952.95038210847138269192305
340000,3000,182251.34221934452549207034072
350000,500,-1349.50411529190929457208148
350000,600,5948.88772194414481480633618
350000,700,13247.27955918019892418475384
350000,800,20545.67139641625303356317155
350000,900,27844.06323365230714294158918
350000,1000,35142.45507088836125232000686
350000,1100,42440.84690812441536169842453
350000,1200,49739.23874536046947107684220
350000,1300,57037.630582596523580455259863
350000,1400,64336.022419832577689833677534
350000,1500,71634.414257068631799212095199
350000,1600,78932.806094304685908590512867
350000,1700,86231.19793154074001796893054
350000,1800,93529.58976877679412734734820
350000,1900,100827.98160601284823672576586
350000,2000,108126.37344324890234610418353
350000,2100,115424.76528048495645548260120
350000,2200,122723.15711772101056486101887
350000,2300,130021.54895495706467423943654
350000,2400,137319.94079219311878361785420
350000,2500,144618.33262942917289299627187
350000,2600,151916.72446666522700237468954
350000,2700,159215.11630390128111175310721
350000,2800,166513.50814113733522113152487
350000,2900,173811.89997837338933050994254
350000,3000,181110.29181560944343988836020
360000,500,-2490.55451902699134675406198
360000,600,4807.83731820906276262435568
360000,700,12106.22915544511687200277340
360000,800,19404.62099268117098138119104
360000,900,26703.01282991722509075960870
360000,1000,34001.40466715327920013802637
360000,1100,41299.79650438933330951644400
360000,1200,48598.18834162538741889486170
360000,1300,55896.580178861441528273279368
360000,1400,63194.972016097495637651697029
360000,1500,70493.363853333549747030114699
360000,1600,77791.755690569603856408532361
360000,1700,85090.14752780565796578695003
360000,1800,92388.53936504171207516536770
360000,1900,99686.93120227776618454378537
360000,2000,106985.32303951382029392220303
360000,2100,114283.71487674987440330062070
360000,2200,121582.10671398592851267903837
360000,2300,128880.49855122198262205745603
360000,2400,136178.89038845803673143587370
360000,2500,143477.28222569409084081429137
360000,2600,150775.67406293014495019270904
360000,2700,158074.06590016619905957112670
360000,2800,165372.45773740225316894954437
360000,2900,172670.84957463830727832796204
360000,3000,179969.24141187436138770637970
370000,500,-3631.60492276207339893604249
370000,600,3666.78691447398071044237525
370000,700,10965.17875171003481982079289
370000,800,18263.57058894608892919921054
