initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
1400,-0.09,49417.623655955850218654779475
1400,-0.08,50921.341607310768824283522435
1400,-0.07,52455.976829657068762245024252
1400,-0.06,54022.016048709857123356118921
1400,-0.05,55619.950096931767313229068693
1400,-0.04,57250.273913532959052271564121
1400,-0.03,58913.486544471118375686724051
1400,-0.02,60610.091142451457633473095607
1400,-0.01,62340.594966926715490424654216
1400,0.00,64105.509384097156926130803569
1400,0.01,65905.349866910573234976375676
1400,0.02,67740.635995062282026141630806
1400,0.03,69611.891454995127223602257540
1400,0.04,71519.644039899479066129372735
1400,0.05,73464.425649713234107289521530
1400,0.06,75446.772291121815215444677370
1400,0.07,77467.224077558171573752241972
1400,0.08,79526.32522920277868016504536
1400,0.09,81624.62407298363834743134582
1400,0.10,83762.67304257627870309482995
1400,0.11,85941.02867840375418949461262
1400,0.12,88160.25162763664556376523699
1400,0.13,90420.90664419305989783667454
1400,0.14,92723.56258873863057843432498
1400,0.15,95068.79242868651730707901636
1500,-0.1,53419.868958640178997433512228
1500,-0.09,54998.386779352091193130715565
1500,-0.08,56609.513155803789699161511590
1500,-0.07,58253.765179746253918405977834
1500,-0.06,59931.664343017098591025007828
1500,-0.05,61643.736537540573794460311154
1500,-0.04,63390.512055327564943434413402
1500,-0.03,65172.525588475592789950656182
1500,-0.02,66990.316229168813423293197133
1500,-0.01,68844.427469678018270027009927
1500,0.00,70735.407202360634093997884235
1500,0.01,72663.807719660722996332425781
1500,0.02,74630.185714108982415438056280
1500,0.03,76635.102278322745127003013494
1500,0.04,78679.122905005979243996351198
1500,0.05,80762.81748694928821666793920
1500,0.06,82886.76031702991083254846331
1500,0.07,85051.53008821172121644942539
1500,0.08,87257.70989354522883046314330
1500,0.09,89505.88722616757847396275093
1500,0.10,91796.65397930255028360219821
1500,0.11,94130.60644626055973331625107
1500,0.12,96508.34532043865763432049148
1500,0.13,98930.47569532053013511131742
1500,0.14,101397.60706447649872146594289
1500,0.15,103910.35332156352021644239794
1600,-0.1,58895.397560655625825529634762
1600,-0.09,60579.149902748332167606651653
1600,-0.08,62297.684704296810574039500748
1600,-0.07,64051.553529835439074566931403
1600,-0.06,65841.312637324340058693896735
1600,-0.05,67667.522978149380275691553617
1600,-0.04,69530.750197122170834597262678
1600,-0.03,71431.564632480067204214588304
1600,-0.02,73370.541315886169213113298663
1600,-0.01,75348.259972429321049629365641
1600,0.00,77365.305020624111261864964905
1600,0.01,79422.26557241087275768847588
1600,0.02,81519.73543315568280473448175
1600,0.03,83658.31310165036303040376944
1600,0.04,85838.60177011247942186332967
1600,0.05,88061.20932418534232604635686
1600,0.06,90326.74834293800644965224924
1600,0.07,92635.83609886527085914660880
1600,0.08,94989.09455788767898076124123
1600,0.09,97387.15037935151860049415604
1600,0.10,99830.63491602882186410956648
1600,0.11,102320.18421411736527713788953
1600,0.12,104856.43901324066970487574596
1600,0.13,107440.04474644800037238596030
1600,0.14,110071.65154021436686449756081
1600,0.15,112751.91421444052312580577952
1700,-0.1,64370.926162671072653625757300
1700,-0.09,66159.913026144573142082587741
1700,-0.08,67985.856252789831448917489905
1700,-0.07,69849.341879924624230727884978
1700,-0.06,71750.960931631581526362785636
1700,-0.05,73691.309418758186756922796077
1700,-0.04,75670.988338916776725760111957
1700,-0.03,77690.603676484541618478520445
1700,-0.02,79750.76640260352500293340019
1700,-0.01,81852.09247518062382923172135
1700,0.00,83995.20283888758842973204557
1700,0.01,86180.72342516102251904452599
1700,0.02,88409.28515220238319403090722
1700,0.03,90681.52392497798093380452540
1700,0.04,92998.08063521897959973030813
1700,0.05,95359.60116142139643542477453
1700,0.06,97766.73636884610206675603519
1700,0.07,100220.14210951882050184379221
1700,0.08,102720.47922223012913105933918
1700,0.09,105268.41353253545872702556116
1700,0.10,107864.61585275509344461693474
1700,0.11,110509.76198197417082095952799
1700,0.12,113204.53270604268177543100045
1700,0.13,115949.61379757547060966060318
1700,0.14,118745.69601595223500752917872
1700,0.15,121593.47510731752603516916111
1800,-0.1,69846.454764686519481721879835
