mortgageInterestRate,propertyValueYearlyIncrease,initialMonthlyRentPrice,delta
0,0.14,1000,244043.49871359116382553338145
0,0.14,1100,251243.31100010859467489927163
0,0.14,1200,258443.12328662602552426516182
0,0.14,1300,265642.93557314345637363105200
0,0.14,1400,272842.74785966088722299694219
0,0.14,1500,280042.56014617831807236283237
0,0.14,1600,287242.37243269574892172872256
0,0.14,1700,294442.18471921317977109461274
0,0.14,1800,301641.99700573061062046050293
0,0.14,1900,308841.80929224804146982639311
0,0.14,2000,316041.62157876547231919228329
0,0.15,500,225232.95830100400957870393052
0,0.15,600,232432.77058752144042806982071
0,0.15,700,239632.58287403887127743571089
0,0.15,800,246832.39516055630212680160108
0,0.15,900,254032.20744707373297616749126
0,0.15,1000,261232.01973359116382553338145
0,0.15,1100,268431.83202010859467489927163
0,0.15,1200,275631.64430662602552426516182
0,0.15,1300,282831.45659314345637363105200
0,0.15,1400,290031.26887966088722299694219
0,0.15,1500,297231.08116617831807236283237
0,0.15,1600,304430.89345269574892172872256
0,0.15,1700,311630.70573921317977109461274
0,0.15,1800,318830.51802573061062046050293
0,0.15,1900,326030.33031224804146982639311
0,0.15,2000,333230.14259876547231919228329
0.01,-0.15,500,-96641.94891039837289328090255
0.01,-0.15,600,-89442.13662388094204391501237
0.01,-0.15,700,-82242.32433736351119454912218
0.01,-0.15,800,-75042.512050846080345183231997
0.01,-0.15,900,-67842.699764328649495817341811
0.01,-0.15,1000,-60642.887477811218646451451623
0.01,-0.15,1100,-53443.075191293787797085561445
0.01,-0.15,1200,-46243.262904776356947719671255
0.01,-0.15,1300,-39043.450618258926098353781074
0.01,-0.15,1400,-31843.638331741495248987890889
0.01,-0.15,1500,-24643.826045224064399622000699
0.01,-0.15,1600,-17444.013758706633550256110514
0.01,-0.15,1700,-10244.201472189202700890220334
0.01,-0.15,1800,-3044.389185671771851524330148
0.01,-0.15,1900,4155.423100845658997841560041
0.01,-0.15,2000,11355.235387363089847207450222
