mortgageInterestRate,propertyValueYearlyIncrease,delta
0.07,0.10,167078.07678172649745628407568
0.07,0.11,187206.07865872649745628407568
0.07,0.12,208072.63124572649745628407568
0.07,0.13,229697.87519272649745628407568
0.07,0.14,252102.31402972649745628407568
0.07,0.15,275306.81740672649745628407568
0.08,-0.15,-160433.64625774462631704924182
0.08,-0.14,-153218.78588074462631704924182
0.08,-0.13,-145660.43204374462631704924182
0.08,-0.12,-137746.46309674462631704924182
0.08,-0.11,-129464.47550974462631704924182
0.08,-0.10,-120801.78063274462631704924182
0.08,-0.09,-111745.40145574462631704924182
0.08,-0.08,-102282.06936874462631704924182
0.08,-0.07,-92398.22092174462631704924182
0.08,-0.06,-82079.99458474462631704924182
0.08,-0.05,-71313.227507744626317049241822
0.08,-0.04,-60083.452280744626317049241822
0.08,-0.03,-48375.893693744626317049241822
0.08,-0.02,-36175.465496744626317049241822
0.08,-0.01,-23466.767159744626317049241822
0.08,0.00,-10234.080632744626317049241822
0.08,0.01,3538.632894255373682950758178
0.08,0.02,17867.736231255373682950758178
0.08,0.03,32769.919428255373682950758178
0.08,0.04,48262.203015255373682950758178
0.08,0.05,64361.941242255373682950758178
0.08,0.06,81086.82531925537368295075818
0.08,0.07,98454.88665625537368295075818
0.08,0.08,116484.50010325537368295075818
0.08,0.09,135194.38719025537368295075818
0.08,0.10,154603.61936725537368295075818
0.08,0.11,174731.62124425537368295075818
0.08,0.12,195598.17383125537368295075818
0.08,0.13,217223.41777825537368295075818
0.08,0.14,239627.85661525537368295075818
0.08,0.15,262832.35999225537368295075818
0.09,-0.15,-173004.83569688943452465991135
0.09,-0.14,-165789.97531988943452465991135
0.09,-0.13,-158231.62148288943452465991135
0.09,-0.12,-150317.65253588943452465991135
0.09,-0.11,-142035.66494888943452465991135
0.09,-0.10,-133372.97007188943452465991135
0.09,-0.09,-124316.59089488943452465991135
0.09,-0.08,-114853.25880788943452465991135
0.09,-0.07,-104969.41036088943452465991135
0.09,-0.06,-94651.18402388943452465991135
0.09,-0.05,-83884.41694688943452465991135
0.09,-0.04,-72654.641719889434524659911350
0.09,-0.03,-60947.083132889434524659911350
0.09,-0.02,-48746.654935889434524659911350
0.09,-0.01,-36037.956598889434524659911350
0.09,0.00,-22805.270071889434524659911350
0.09,0.01,-9032.556544889434524659911350
0.09,0.02,5296.546792110565475340088650
0.09,0.03,20198.729989110565475340088650
0.09,0.04,35691.013576110565475340088650
0.09,0.05,51790.751803110565475340088650
0.09,0.06,68515.635880110565475340088650
0.09,0.07,85883.69721711056547534008865
0.09,0.08,103913.31066411056547534008865
0.09,0.09,122623.19775111056547534008865
0.09,0.10,142032.42992811056547534008865
0.09,0.11,162160.43180511056547534008865
0.09,0.12,183026.98439211056547534008865
0.09,0.13,204652.22833911056547534008865
0.09,0.14,227056.66717611056547534008865
0.09,0.15,250261.17055311056547534008865
0.10,-0.15,-185653.44765841091730740561527
0.10,-0.14,-178438.58728141091730740561527
